Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
733977,The Little Locksmith,Katharine Butler Hathaway,"Hathaway, Katharine Butler",Alix Kates Shulman,"=""1558612394""","=""9781558612396""",0,3.67,The Feminist Press at CUNY,Paperback,272,2000,1943,,2023/06/14,"to-read, gilmore-girls","to-read (#293), gilmore-girls (#294)",to-read,,,,0,0
646195,Babe : The Gallant Pig,Dick King-Smith,"King-Smith, Dick",Maggie Kneen,"=""0375829709""","=""9780375829703""",0,4.09,Knopf Books for Young Readers,Hardcover,130,2005,1983,,2023/06/14,"to-read, gilmore-girls","to-read (#294), gilmore-girls (#295)",to-read,,,,0,0
739840,Bambi,Felix Salten,"Salten, Felix",Barbara Cooney,"=""067166607X""","=""9780671666071""",0,4.12,Aladdin,Paperback,192,1988,1923,,2023/06/14,"to-read, gilmore-girls","to-read (#297), gilmore-girls (#298)",to-read,,,,0,0
92517,The Glass Menagerie,Tennessee Williams,"Williams, Tennessee",Robert Bray,"=""0811214044""","=""9780811214049""",0,3.73,New Directions,Paperback,104,1999,1945,,2023/06/14,"to-read, gilmore-girls","to-read (#295), gilmore-girls (#296)",to-read,,,,0,0
154387,Sonnets from the Portuguese,Elizabeth Barrett Browning,"Browning, Elizabeth Barrett",,"=""031274501X""","=""9780312745011""",0,4.12,St. Martin's Press,Hardcover,64,1986,1850,,2023/06/14,"to-read, gilmore-girls","to-read (#287), gilmore-girls (#288)",to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,4.28,St. Martin's Griffin,Paperback,264,2004,1939,,2023/06/14,"to-read, gilmore-girls","to-read (#288), gilmore-girls (#289)",to-read,,,,0,0
349040,Goldilocks & Three Bears: Bears Should Share!,Alvin Granowsky,"Granowsky, Alvin","Anne Lunsford, Lyn Martin, Annie Lunsford, J. Lyn Martin","=""0811466345""","=""9780811466349""",0,3.97,Steck-Vaughn,Paperback,48,1996,1995,,2023/06/14,"to-read, gilmore-girls","to-read (#289), gilmore-girls (#290)",to-read,,,,0,0
205218,Ethics,Baruch Spinoza,"Spinoza, Baruch","Stuart Hampshire, Edwin M. Curley","=""0140435719""","=""9780140435719""",0,4.09,Penguin Classics,Paperback,186,2005,1677,,2023/06/14,"to-read, gilmore-girls","to-read (#290), gilmore-girls (#291)",to-read,,,,0,0
104778,The Merry Wives of Windsor,William Shakespeare,"Shakespeare, William",,"=""1419172662""","=""9781419172663""",0,3.55,"Kessinger Publishing, LLC",Paperback,156,2004,1597,,2023/06/14,"to-read, gilmore-girls","to-read (#291), gilmore-girls (#292)",to-read,,,,0,0
109533,The New Way Things Work,David Macaulay,"Macaulay, David",Neil Ardley,"=""0395938473""","=""9780395938478""",0,4.27,Houghton Mifflin,Hardcover,400,1998,1988,,2023/06/14,"to-read, gilmore-girls","to-read (#292), gilmore-girls (#293)",to-read,,,,0,0
1109271,My Life As Author And Editor,H.L. Mencken,"Mencken, H.L.",,"=""0679413154""","=""9780679413158""",0,3.72,Knopf,Hardcover,449,1993,1993,,2023/06/14,"to-read, gilmore-girls","to-read (#282), gilmore-girls (#283)",to-read,,,,0,0
284429,The Last Empire: Essays 1992-2000,Gore Vidal,"Vidal, Gore",,"=""037572639X""","=""9780375726392""",0,3.91,Vintage,Paperback,480,2002,2001,,2023/06/14,"to-read, gilmore-girls","to-read (#283), gilmore-girls (#284)",to-read,,,,0,0
4260,The Polysyllabic Spree,Nick Hornby,"Hornby, Nick",,"=""1932416242""","=""9781932416244""",0,3.73,McSweeney's,Paperback,143,2004,2004,,2023/06/14,"to-read, gilmore-girls","to-read (#284), gilmore-girls (#285)",to-read,,,,0,0
145981,The Snows of Kilimanjaro and Other Stories,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""9780099460923""",0,3.82,Vintage,Paperback,138,,1936,,2023/06/14,"to-read, gilmore-girls","to-read (#285), gilmore-girls (#286)",to-read,,,,0,0
38447,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",0,4.13,Anchor Books,Paperback,314,1998,1985,,2023/06/14,"to-read, gilmore-girls","to-read (#286), gilmore-girls (#287)",to-read,,,,0,0
18789,Sanctuary,William Faulkner,"Faulkner, William",,"=""0679748148""","=""9780679748144""",0,3.63,Vintage,Paperback,317,1993,1931,,2023/06/14,"to-read, gilmore-girls","to-read (#278), gilmore-girls (#279)",to-read,,,,0,0
40200,The Crimson Petal and the White,Michel Faber,"Faber, Michel",,"=""1841954314""","=""9781841954318""",0,3.88,Canongate Books,Paperback,922,2003,2002,,2023/06/14,"to-read, gilmore-girls","to-read (#279), gilmore-girls (#280)",to-read,,,,0,0
778639,Robert's Rules of Order,Henry Martyn Robert,"Robert, Henry Martyn","William J. Evans, Daniel H. Honemann","=""0738203076""","=""9780738203072""",0,3.92,PublicAffairs,Paperback,704,2000,1876,,2023/06/14,"to-read, gilmore-girls","to-read (#280), gilmore-girls (#281)",to-read,,,,0,0
